primaryName,birthYear,deathYear,primaryProfession,knownForTitles,average_popularity,nconst,aggregated_genres
Louis de Funès,1914,1983,"actor,writer,director","tt0064425,tt0069747,tt0074103,tt0079200",5.739853953324557,nm0000086,"Adventure,Comedy,War, Adventure,Comedy,History, Comedy,Drama,Sci-Fi, Comedy, Action,Comedy, Comedy,Crime,Thriller, Comedy,Crime, Comedy,Drama, Comedy,Crime,Sci-Fi, Comedy,Romance, Adventure,Comedy,Crime, Comedy,Musical, Comedy,Fantasy,Sci-Fi, Adventure,Comedy, Comedy,Family"
Rowan Atkinson,1955,NA,"actor,writer,soundtrack","tt0274166,tt1634122,tt0118689,tt0110357",6.434571056475617,nm0000100,"Comedy,Family,Short, Comedy, Adventure,Comedy,Family, Comedy,Music, Comedy,Documentary, Biography, Biography,Sport, Comedy,Crime, Comedy,Sci-Fi, Documentary, Comedy,War, Comedy,Drama,Fantasy, Action,Adventure,Comedy, Crime,Drama,Mystery, Comedy,Romance, Animation,Comedy,Family, Comedy,History, Comedy,Family"
Gary Oldman,1958,NA,"actor,producer,soundtrack","tt1340800,tt0103874,tt0468569,tt4555426",6.474202880481466,nm0000198,"Action,Thriller, Crime,Drama,Thriller, Crime,Drama,History, Biography,Comedy,Drama, Horror,Mystery, Drama,Horror,Thriller, Adventure,Comedy,Drama, Comedy,Drama, Documentary, Drama,Mystery,Thriller, Comedy,Crime,Drama, Horror,Sci-Fi,Thriller, Adventure,Animation,Comedy, Crime,Drama,Mystery, Action,Adventure,Family, Action,Adventure,Drama, Fantasy,Horror,Mystery, Drama,Thriller,War, Documentary,Sport, Drama,Mystery, Action,Drama,Thriller, Drama,Romance,Sci-Fi, Horror,Mystery,Thriller, Biography, Action,Crime,Sci-Fi, Crime,Drama,Romance, Drama,Romance, Drama,Fantasy,Horror, Drama,History,Thriller, Action,Crime,Drama, Action,Sci-Fi,Thriller, Biography,Drama,War, Biography,Drama,Music, Drama, Action,Comedy,Crime, Action,Adventure,Sci-Fi, Biography,Drama, Comedy,Drama,Romance, Drama,Thriller"
John Travolta,1954,NA,"actor,soundtrack,producer","tt0077631,tt0076666,tt0113161,tt0110912",6.075970004405989,nm0000237,"Comedy,Fantasy,Romance, Action,Thriller, Crime,Drama,Thriller, Comedy,Crime,Music, Comedy, Action,Comedy, Drama,Romance,Western, Horror,Mystery, Biography,Drama,Romance, Comedy,Crime, Comedy,Drama, Documentary, Comedy,Drama,Fantasy, Action,Adventure,Comedy, Crime,Thriller, Adventure,Animation,Comedy, Crime,Drama,Mystery, Crime,Drama, Comedy,Musical,Romance, Comedy,Drama,Musical, Action,Comedy,Thriller, Action,Crime,Thriller, Action,Drama,Thriller, Drama,Music,Romance, Drama,Fantasy,Romance, Comedy,Crime,Thriller, Crime,Mystery,Thriller, Drama,Romance, Action,Crime,Sci-Fi, Crime,Drama,Horror, Action,Crime,Drama, Drama,Music, Action,Adventure,Sci-Fi, Action,Western, Drama, Documentary,Music, Action,Adventure,Thriller, Comedy,Family,Romance, Biography,Crime,Drama, Comedy,Family, Action,Drama,Sport, Drama,Thriller"
Matt Damon,1970,NA,"producer,actor,soundtrack","tt0119217,tt0134119,tt0407887,tt3659388",6.979481344891575,nm0000354,"Action,Thriller, Crime,Drama,Thriller, Action,Adventure,Biography, Crime,Mystery,Romance, Comedy, Drama,Romance,Western, Action,Drama,Sci-Fi, Adventure,Comedy,Drama, Documentary, Comedy,Crime,Drama, Action,Adventure,Comedy, Crime,Thriller, Comedy,Drama,Family, Adventure,Animation,Comedy, Crime,Drama, Crime,Drama,Mystery, Documentary,Sport, Action,Drama,Thriller, Documentary,News, Action,Mystery,Thriller, Comedy,Drama,History, Adventure,Drama,Mystery, Drama,Fantasy,Romance, Drama,Sport, Adventure,Animation,Drama, Biography,Documentary,History, Drama,Romance, Action,Adventure,Animation, Action,Drama,History, Drama,Western, Documentary,History,News, Drama,History,Thriller, Biography,Drama,History, Drama,Fantasy,Sci-Fi, Comedy,Romance, Biography,Drama,Music, Drama, Drama,War, Drama,Fantasy,Sport, Action,Adventure,Fantasy, Action,Biography,Drama, Drama,Thriller, Biography,Comedy,Crime, Adventure,Drama,Sci-Fi"
Danny DeVito,1944,NA,"actor,producer,director","tt0098621,tt0117008,tt0119488,tt0103776",5.950408138864648,nm0000362,"Comedy,Crime,Family, Crime,Drama,Thriller, Comedy,Family,Fantasy, Comedy, Comedy,Crime,Thriller, Biography,Comedy,Drama, Animation,Comedy,Horror, Action,Crime,Fantasy, Animation,Drama,Family, Comedy,Crime, Comedy,Drama, Comedy,Mystery, Animation,Family,Fantasy, Comedy,Crime,Drama, Action,Adventure,Comedy, Adventure,Animation,Comedy, Comedy,Romance, Action,Crime,Drama, Comedy,Romance,Sci-Fi, Drama, Biography,Crime,Drama, Adventure,Family,Fantasy, Comedy,Drama,Romance, Comedy,Family, Family, Adventure,Animation,Family, Comedy,Crime,Mystery"
Jack Lemmon,1925,2001,"actor,soundtrack,producer","tt0053604,tt0053291,tt0104348,tt0107050",6.19092617928004,nm0000493,"Comedy,Fantasy,Romance, Comedy,Drama,War, Comedy, Comedy,Music,Romance, Comedy,Drama, Documentary, Comedy,War, Action,Adventure,Comedy, Crime,Drama, Crime,Drama,Mystery, Comedy,Musical,Romance, Action,Drama,Thriller, Adventure,Comedy, Adventure,Drama,Romance, Musical, Talk-Show, Comedy,Mystery, Drama,Western, Drama,History,Thriller, Biography,Drama,History, Comedy,Romance, Drama,Music, Biography,Documentary, Drama, Biography,Drama, Comedy,Drama,Romance, Adventure,Drama,Family, Drama,Thriller"
Lee Majors,1939,NA,"actor,music_department,producer","tt0071054,tt0096061,tt0081859,tt0058791",6.108269197647924,nm0000516,"Thriller, Action, Crime,Drama,Thriller, Crime, Comedy, Drama,Romance,Western, Biography,Comedy,Drama, Action,Comedy, Action,Sci-Fi, Sci-Fi,Thriller, Action,Drama,Sci-Fi, Western, Horror,Sci-Fi,Thriller, Action,Adventure,Comedy, Action,Adventure,Crime, Action,Adventure,Drama, Action,Drama,Thriller, Action,Crime,Thriller, Action,Mystery,Thriller, Drama,Sci-Fi,Thriller, Action,Comedy,Horror, Drama,Family,Romance, Drama,Sport, Action,Comedy,Family, Action,Adventure, Drama,Western, Adventure,Drama, Biography,Drama,History, Action,Drama,Horror, Action,Crime,Drama, Comedy,Romance, Action,Adventure,Sci-Fi, Drama, Fantasy,Music, Adventure,Sci-Fi, Drama,Thriller, Sci-Fi"
Jean-Hugues Anglade,1955,NA,"actor,director,writer","tt0110963,tt0100263,tt0090563,tt0090095",5.625022618549993,nm0000767,"Thriller, Crime,Drama,Thriller, Comedy, Comedy,Drama,Sport, Adventure,Comedy,Drama, Adventure,Drama,Thriller, Comedy,Drama, Documentary, Horror,Thriller, Crime,Thriller, Crime,Drama,Mystery, Action,Adventure,Crime, Crime,Fantasy,Thriller, Action,Crime,Thriller, Comedy,Crime,Thriller, Adventure,Drama,History, Drama,Romance, Crime,Drama,Romance, Adventure,Horror, Biography,Drama,History, Comedy,Romance, Adventure,Comedy,Crime, Drama, Action,Comedy,Crime, Animation,Drama, Comedy,Drama,Romance, Drama,Thriller, Drama,Horror,Romance"
Ian Bannen,1928,1999,"actor,soundtrack","tt0112573,tt0093209,tt0166396,tt0059183",6.0135675976358955,nm0000846,"Thriller, Action,Drama,War, Drama,Mystery,Romance, Crime,Drama,Thriller, Comedy, Horror, Comedy,Crime, Comedy,Drama, Horror,Mystery,Sci-Fi, Horror,Sci-Fi,Thriller, Adventure,Romance, Crime,Drama,Mystery, Crime,Drama, Action,Adventure,Drama, Drama,Mystery, Action,Crime,Thriller, Crime,Drama,Fantasy, Adventure,Drama,Romance, Comedy,Family,Fantasy, Drama,History, Drama,Romance, Drama,Fantasy,Horror, Drama,Family, Adventure,Biography,Drama, Action,Crime,Drama, Comedy,Romance, Drama, Drama,War, Biography,Drama, Adventure,Drama,Family"
