primaryName,birthYear,deathYear,primaryProfession,knownForTitles,average_popularity,nconst,aggregated_genres
Louis de Funès,1914,1983,"actor,writer,director","tt0064425,tt0069747,tt0074103,tt0079200",5.739853953324557,nm0000086,"Adventure,Comedy,War, Adventure,Comedy,History, Comedy,Drama,Sci-Fi, Comedy, Action,Comedy, Comedy,Crime,Thriller, Comedy,Crime, Comedy,Drama, Comedy,Crime,Sci-Fi, Comedy,Romance, Adventure,Comedy,Crime, Comedy,Musical, Comedy,Fantasy,Sci-Fi, Adventure,Comedy, Comedy,Family"
Gary Oldman,1958,NA,"actor,producer,soundtrack","tt1340800,tt0103874,tt0468569,tt4555426",6.412082523502393,nm0000198,"Action,Thriller, Crime,Drama,Thriller, Crime,Drama,History, Biography,Comedy,Drama, Horror,Mystery, Drama,Horror,Thriller, Adventure,Comedy,Drama, Comedy,Drama, Documentary, Drama,Mystery,Thriller, Comedy,Crime,Drama, Horror,Sci-Fi,Thriller, Adventure,Animation,Comedy, Crime,Drama,Mystery, Action,Adventure,Family, Action,Adventure,Drama, Fantasy,Horror,Mystery, Drama,Thriller,War, Drama,Mystery, Documentary,Sport, Action,Drama,Thriller, Drama,Romance,Sci-Fi, Horror,Mystery,Thriller, Biography, Crime,Drama,Romance, Action,Crime,Sci-Fi, Drama,Romance, Drama,Fantasy,Horror, Drama,History,Thriller, Action,Crime,Drama, Action,Sci-Fi,Thriller, Biography,Drama,War, Biography,Drama,Music, Action,Adventure,Sci-Fi, Action,Comedy,Crime, Biography,Drama, Comedy,Drama,Romance, Drama,Thriller"
John Travolta,1954,NA,"actor,soundtrack,producer","tt0077631,tt0076666,tt0113161,tt0110912",6.0597040250965755,nm0000237,"Comedy,Fantasy,Romance, Action,Thriller, Crime,Drama,Thriller, Comedy,Crime,Music, Comedy, Action,Comedy, Drama,Romance,Western, Horror,Mystery, Biography,Drama,Romance, Comedy,Crime, Comedy,Drama, Documentary, Comedy,Drama,Fantasy, Action,Adventure,Comedy, Crime,Thriller, Adventure,Animation,Comedy, Crime,Drama,Mystery, Crime,Drama, Comedy,Musical,Romance, Comedy,Drama,Musical, Action,Crime,Thriller, Action,Drama,Thriller, Drama,Music,Romance, Drama,Fantasy,Romance, Comedy,Crime,Thriller, Crime,Mystery,Thriller, Drama,Romance, Action,Crime,Sci-Fi, Crime,Drama,Horror, Action,Crime,Drama, Drama,Music, Action,Adventure,Sci-Fi, Action,Western, Drama, Documentary,Music, Action,Adventure,Thriller, Comedy,Family,Romance, Biography,Crime,Drama, Comedy,Family, Action,Drama,Sport, Drama,Thriller"
Matt Damon,1970,NA,"producer,actor,soundtrack","tt0119217,tt0134119,tt0407887,tt3659388",6.979481344891575,nm0000354,"Action,Thriller, Crime,Drama,Thriller, Action,Adventure,Biography, Crime,Mystery,Romance, Comedy, Drama,Romance,Western, Adventure,Comedy,Drama, Action,Drama,Sci-Fi, Documentary, Comedy,Crime,Drama, Action,Adventure,Comedy, Crime,Thriller, Comedy,Drama,Family, Adventure,Animation,Comedy, Crime,Drama,Mystery, Crime,Drama, Documentary,Sport, Action,Drama,Thriller, Documentary,News, Action,Mystery,Thriller, Comedy,Drama,History, Adventure,Drama,Mystery, Drama,Fantasy,Romance, Drama,Sport, Adventure,Animation,Drama, Biography,Documentary,History, Drama,Romance, Action,Adventure,Animation, Drama,Western, Documentary,History,News, Action,Drama,History, Drama,History,Thriller, Drama,Fantasy,Sci-Fi, Biography,Drama,History, Comedy,Romance, Biography,Drama,Music, Drama, Drama,War, Drama,Fantasy,Sport, Action,Adventure,Fantasy, Action,Biography,Drama, Drama,Thriller, Biography,Comedy,Crime, Adventure,Drama,Sci-Fi"
Danny DeVito,1944,NA,"actor,producer,director","tt0098621,tt0117008,tt0119488,tt0103776",5.695965795309889,nm0000362,"Crime,Drama,Thriller, Comedy,Crime,Family, Comedy,Family,Fantasy, Comedy, Biography,Comedy,Drama, Comedy,Crime,Thriller, Action,Crime,Fantasy, Animation,Drama,Family, Comedy,Crime, Comedy,Drama, Comedy,Mystery, Animation,Family,Fantasy, Comedy,Crime,Drama, Action,Adventure,Comedy, Adventure,Animation,Comedy, Comedy,Romance, Comedy,Romance,Sci-Fi, Action,Crime,Drama, Drama, Biography,Crime,Drama, Adventure,Family,Fantasy, Comedy,Drama,Romance, Comedy,Family, Family, Adventure,Animation,Family, Comedy,Crime,Mystery"
Jack Lemmon,1925,2001,"actor,soundtrack,producer","tt0053604,tt0053291,tt0104348,tt0107050",6.19092617928004,nm0000493,"Comedy,Fantasy,Romance, Comedy,Drama,War, Comedy, Comedy,Music,Romance, Comedy,Drama, Comedy,Mystery, Documentary, Comedy,War, Drama,Western, Drama,History,Thriller, Biography,Drama,History, Action,Adventure,Comedy, Comedy,Romance, Crime,Drama, Drama,Music, Biography,Documentary, Crime,Drama,Mystery, Drama, Biography,Drama, Comedy,Musical,Romance, Action,Drama,Thriller, Comedy,Drama,Romance, Adventure,Comedy, Adventure,Drama,Family, Drama,Thriller, Musical, Adventure,Drama,Romance"
Lee Majors,1939,NA,"actor,music_department,producer","tt0071054,tt0096061,tt0081859,tt0058791",5.905931525190169,nm0000516,"Thriller, Action, Crime,Drama,Thriller, Crime, Comedy, Drama,Romance,Western, Biography,Comedy,Drama, Action,Comedy, Action,Sci-Fi, Sci-Fi,Thriller, Action,Drama,Sci-Fi, Western, Horror,Sci-Fi,Thriller, Action,Adventure,Crime, Action,Drama,Thriller, Action,Crime,Thriller, Action,Mystery,Thriller, Drama,Sci-Fi,Thriller, Drama,Family,Romance, Drama,Sport, Action,Comedy,Family, Action,Adventure, Drama,Western, Biography,Drama,History, Adventure,Drama, Action,Drama,Horror, Comedy,Romance, Action,Adventure,Sci-Fi, Drama, Fantasy,Music, Adventure,Sci-Fi, Drama,Thriller, Sci-Fi"
Jean-Hugues Anglade,1955,NA,"actor,director,writer","tt0110963,tt0100263,tt0090563,tt0090095",5.519802549671323,nm0000767,"Thriller, Crime,Drama,Thriller, Comedy, Comedy,Crime,Thriller, Comedy,Drama,Sport, Adventure,Comedy,Drama, Adventure,Drama,Thriller, Drama,Romance, Comedy,Drama, Documentary, Crime,Drama,Romance, Adventure,Horror, Horror,Thriller, Biography,Drama,History, Crime,Thriller, Crime,Drama,Mystery, Adventure,Comedy,Crime, Comedy,Romance, Action,Adventure,Crime, Drama, Animation,Drama, Crime,Fantasy,Thriller, Action,Crime,Thriller, Comedy,Drama,Romance, Drama,Thriller, Drama,Horror,Romance"
Ian Bannen,1928,1999,"actor,soundtrack","tt0112573,tt0093209,tt0166396,tt0059183",5.76791389883553,nm0000846,"Thriller, Action,Drama,War, Drama,Mystery,Romance, Crime,Drama,Thriller, Comedy, Horror, Comedy,Crime, Comedy,Drama, Horror,Mystery,Sci-Fi, Horror,Sci-Fi,Thriller, Adventure,Romance, Crime,Drama, Crime,Drama,Mystery, Action,Adventure,Drama, Drama,Mystery, Action,Crime,Thriller, Adventure,Drama,Romance, Comedy,Family,Fantasy, Drama,History, Drama,Romance, Drama,Fantasy,Horror, Drama,Family, Adventure,Biography,Drama, Action,Crime,Drama, Comedy,Romance, Drama, Drama,War, Biography,Drama, Adventure,Drama,Family"
Robert Forster,1941,2019,"actor,producer,director","tt0119396,tt2302755,tt0166924,tt1033575",5.44913227944132,nm0001233,"Action,Drama,War, Drama,Mystery,Romance, Crime,Drama,Thriller, Comedy, Action,Sci-Fi, Crime,Horror,Thriller, Comedy,Drama, Documentary, Comedy,Drama,Fantasy, Horror,Sci-Fi,Thriller, Action,Drama,Fantasy, Crime,Drama,Mystery, Crime,Drama, Action,Adventure,Drama, Drama,Mystery, Action,Drama,Thriller, Action,Crime,Thriller, Action,Crime,Horror, Drama,Sport, Action,Romance,Sci-Fi, Comedy,Crime,Thriller, Crime,Mystery,Thriller, Drama,Western, Drama,Family, Comedy,Thriller, Action,Crime,Drama, Drama, Comedy,Horror,Mystery, Biography,Crime,Drama, Comedy,Drama,Romance, Drama,Thriller, Drama,Horror,Romance"
