primaryName,birthYear,deathYear,primaryProfession,knownForTitles,average_popularity,nconst,aggregated_genres
Julianne Moore,1960,NA,"actress,producer,soundtrack","tt0118749,tt2172584,tt0842926,tt0297884",6.308004715450457,nm0000194,"Comedy,Fantasy,Horror, Comedy,Drama,Mystery, Crime,Drama,Thriller, Drama,Horror,Thriller, Drama,Mystery,Sci-Fi, Action,Drama,Sci-Fi, Biography,Drama,Romance, Comedy,Crime, Comedy,Drama, Comedy,Sci-Fi, Drama,Mystery,Thriller, Comedy,Crime,Drama, Horror,Thriller, Crime,Drama,Mystery, Action,Crime,Thriller, Action,Mystery,Thriller, Drama,Music,Romance, Adventure,Drama,Mystery, Horror,Mystery,Thriller, Drama,Romance, Crime,Drama,Romance, Comedy,Mystery, Biography,Drama,History, Comedy,Romance, Action,Sci-Fi,Thriller, Action,Crime,Drama, Action,Adventure,Sci-Fi, Drama, Comedy,Drama,Music, Biography,Drama, Action,Adventure,Fantasy, Comedy,Drama,Romance, Drama,Musical"
Linda Blair,1959,NA,"actress,soundtrack,producer","tt0088044,tt0076009,tt0070047,tt0089964",5.611149318656564,nm0000304,"Thriller, Comedy,Fantasy,Horror, Action, Crime,Drama,Thriller, Fantasy,Horror,Thriller, Comedy, Horror, Animation,Comedy,Horror, Comedy,Music, Crime,Family,Fantasy, Drama,Horror,Thriller, Comedy,Crime, Drama,Romance, Documentary, Action,Drama,History, Horror,Thriller, Crime,Thriller, Action,Crime,Drama, Drama, Comedy,Drama,Music, Mystery,Thriller, Action,Drama,Thriller, Comedy,Family, Family,Fantasy,Sci-Fi, Drama,Thriller, Adventure,Drama,Family"
Lolita Davidovich,1961,NA,actress,"tt0092513,tt0096943,tt0110146,tt0329717",5.324222963210348,nm0000357,"Thriller, Biography,Comedy,Drama, Comedy,Drama,Sport, Drama,Romance, Comedy,Drama, Comedy,Drama,Fantasy, Drama,Family, Comedy,Crime,Drama, Crime,Drama,Horror, Crime,Drama, Action,Crime,Drama, Drama, Biography,Drama,Sport, Biography,Drama, Biography,Crime,Drama, Animation,Comedy, Comedy,Drama,Romance, Comedy,Family, Action,Comedy,Drama, Drama,Thriller, Musical"
Lin Shaye,1943,NA,"actress,producer,soundtrack","tt1591095,tt3195644,tt0308152,tt0129387",5.492711378737389,nm0005417,"Thriller, Crime,Drama,Thriller, Action,Comedy,Horror, Comedy, Horror, Action,Comedy, Horror,Mystery,Thriller, Horror,Short,Thriller, Adventure,Horror,Mystery, Comedy,Drama, Horror,Thriller, Action,Adventure,Comedy, Adventure,Crime,Drama, Comedy,Romance, Drama, Biography,Crime,Drama, Drama,Sci-Fi, Comedy,Drama,Romance, Comedy,Horror, Crime,Horror,Mystery, Drama,Family,Mystery"
Barbara Auer,1959,NA,actress,"tt2290247,tt0938493,tt0104846,tt0816442",5.725099847956392,nm0041662,"Thriller, Sci-Fi, Action,Thriller, Crime,Romance,Thriller, Crime, Comedy, Family,Fantasy, Drama,History, Comedy,Crime, Drama,Romance, Drama,Mystery,Thriller, Drama,Family, Documentary,Romance, Crime,Thriller, Crime,Drama, Comedy,Romance, Drama, Biography,Drama, Comedy,Drama,Romance, Drama,Thriller, Comedy,Crime,Mystery"
Candace Cameron Bure,1976,NA,"actress,producer,soundtrack","tt3986586,tt0094006,tt0092359,tt0117191",5.5693838052631595,nm0121026,"Thriller, Drama,Family,Romance, Comedy, Drama,Sport, Adventure,Family,Sci-Fi, Drama,Horror,Thriller, Sci-Fi,Thriller, Drama,Romance, Mystery, Drama,Mystery,Thriller, Drama,Family, Action,Adventure,Comedy, Comedy,Drama,Family, Fantasy,Romance, Crime,Drama,Mystery, Comedy,Romance, Comedy,Horror,Musical, Drama, Biography,Crime,Drama, Comedy,Drama,Romance, Comedy,Family, Drama,Family,Fantasy, Crime,Mystery"
Cherie Chung,1960,NA,actress,"tt0096885,tt0101020,tt0093426,tt0125784",5.328565074044693,nm0161193,"Comedy,Fantasy,Romance, Action, Comedy, Action,Comedy, Horror, Comedy,Crime, Comedy,Drama, Comedy,Sci-Fi, Action,Adult,Fantasy, Action,Drama,Fantasy, Crime,Drama, Action,Adventure,Drama, Drama,Mystery, Adventure,Drama,Fantasy, Action,Comedy,Horror, Action,Fantasy, Romance,Thriller, Comedy,Horror,Thriller, Drama,Romance, Action,Drama, Crime,Drama,Romance, Comedy,Romance, Action,Crime,Drama, Action,Mystery, Drama, Action,Comedy,Crime, Drama,War, Comedy,Drama,Romance"
Danielle Darrieux,1917,2017,"actress,soundtrack,music_department","tt0027951,tt0044314,tt0062873,tt0283832",5.8125483522974015,nm0201638,"Drama,Musical,Romance, Crime,Drama,History, Comedy, Drama,Romance,Thriller, Comedy,Drama, Drama,Romance, Comedy,Mystery, Comedy,Crime,Musical, Crime,Drama,Romance, Comedy,Crime,Drama, Animation,Biography,Drama, Comedy,Romance, Crime,Drama,Mystery, Crime,Drama, Drama, Drama,Mystery, Mystery,Thriller, Comedy,Musical, Biography,Crime,Drama, Comedy,Musical,Romance, Comedy,Drama,Romance, Drama,Thriller, Comedy,Crime,Mystery"
Nagwa Fouad,1939,NA,"actress,producer","tt0360213,tt0140435,tt1482165,tt0376780",5.507624248082065,nm0288206,"Adventure,Comedy,Romance, Crime,Romance,Thriller, Thriller, Crime,Drama,Thriller, Action,Comedy,Musical, Comedy, Comedy,Music, Comedy,Fantasy,Musical, Comedy,Crime, Crime,Mystery,Thriller, Action,Drama, Drama,Romance, Comedy,Drama, Crime,Drama,Romance, Musical,Romance, Comedy,Romance, Action,Adventure,Drama, Drama, Romance, Comedy,Family,Romance, Comedy,Musical, Comedy,Musical,Romance, Adventure,Comedy, Adventure,Crime, Sci-Fi"
Gigi Lai,1971,NA,"actress,soundtrack","tt0101781,tt0116456,tt0284878,tt10978668",5.477978031456634,nm0481687,"Action, Crime, Comedy, Drama,Sport, Horror, Horror,Mystery, Action,Adventure, Drama,Romance, Action,Drama, Comedy,Crime,Drama, Action,Crime,Drama, Drama, Action,Crime, Action,Crime,Thriller, Comedy,Family, Comedy,Drama,Romance, Comedy,Horror, Crime,Horror,Mystery"
