primaryName,birthYear,deathYear,primaryProfession,knownForTitles,average_popularity,nconst,aggregated_genres
Julianne Moore,1960,NA,"actress,producer,soundtrack","tt0118749,tt2172584,tt0842926,tt0297884",6.308004715450457,nm0000194,"Comedy,Fantasy,Horror, Comedy,Drama,Mystery, Crime,Drama,Thriller, Drama,Horror,Thriller, Drama,Mystery,Sci-Fi, Action,Drama,Sci-Fi, Biography,Drama,Romance, Comedy,Crime, Comedy,Drama, Comedy,Sci-Fi, Drama,Mystery,Thriller, Comedy,Crime,Drama, Horror,Thriller, Crime,Drama,Mystery, Action,Crime,Thriller, Action,Mystery,Thriller, Drama,Music,Romance, Adventure,Drama,Mystery, Horror,Mystery,Thriller, Drama,Romance, Crime,Drama,Romance, Comedy,Mystery, Biography,Drama,History, Comedy,Romance, Action,Sci-Fi,Thriller, Action,Crime,Drama, Action,Adventure,Sci-Fi, Drama, Comedy,Drama,Music, Biography,Drama, Action,Adventure,Fantasy, Comedy,Drama,Romance, Drama,Musical"
Lin Shaye,1943,NA,"actress,producer,soundtrack","tt1591095,tt3195644,tt0308152,tt0129387",5.402225018810337,nm0005417,"Thriller, Crime,Drama,Thriller, Action,Comedy,Horror, Comedy, Action,Comedy, Horror, Horror,Mystery,Thriller, Adventure,Horror,Mystery, Comedy,Drama, Horror,Thriller, Action,Adventure,Comedy, Adventure,Crime,Drama, Comedy,Romance, Drama, Biography,Crime,Drama, Drama,Sci-Fi, Comedy,Drama,Romance, Comedy,Horror, Crime,Horror,Mystery, Drama,Family,Mystery"
Candace Cameron Bure,1976,NA,"actress,producer,soundtrack","tt3986586,tt0094006,tt0092359,tt0117191",5.478625054344102,nm0121026,"Thriller, Drama,Family,Romance, Comedy, Adventure,Family,Sci-Fi, Drama,Horror,Thriller, Sci-Fi,Thriller, Drama,Romance, Mystery, Drama,Mystery,Thriller, Drama,Family, Action,Adventure,Comedy, Comedy,Drama,Family, Fantasy,Romance, Crime,Drama,Mystery, Comedy,Romance, Comedy,Horror,Musical, Drama, Biography,Crime,Drama, Comedy,Drama,Romance, Comedy,Family, Drama,Family,Fantasy, Crime,Mystery"
Cherie Chung,1960,NA,actress,"tt0096885,tt0101020,tt0093426,tt0125784",5.328565074044693,nm0161193,"Comedy,Fantasy,Romance, Action, Comedy, Action,Comedy, Horror, Comedy,Crime, Comedy,Drama, Comedy,Sci-Fi, Action,Adult,Fantasy, Action,Drama,Fantasy, Crime,Drama, Action,Adventure,Drama, Drama,Mystery, Adventure,Drama,Fantasy, Action,Comedy,Horror, Action,Fantasy, Romance,Thriller, Comedy,Horror,Thriller, Crime,Drama,Romance, Action,Drama, Drama,Romance, Comedy,Romance, Action,Crime,Drama, Action,Mystery, Drama, Drama,War, Action,Comedy,Crime, Comedy,Drama,Romance"
Danielle Darrieux,1917,2017,"actress,soundtrack,music_department","tt0027951,tt0044314,tt0062873,tt0283832",5.8125483522974015,nm0201638,"Drama,Musical,Romance, Crime,Drama,History, Comedy, Drama,Romance,Thriller, Comedy,Drama, Drama,Romance, Crime,Drama,Romance, Comedy,Crime,Musical, Comedy,Mystery, Comedy,Crime,Drama, Animation,Biography,Drama, Comedy,Romance, Crime,Drama, Crime,Drama,Mystery, Drama, Drama,Mystery, Mystery,Thriller, Comedy,Musical, Biography,Crime,Drama, Comedy,Musical,Romance, Comedy,Drama,Romance, Drama,Thriller, Comedy,Crime,Mystery"
Aminah Rizq,1910,2003,actress,"tt0342962,tt1527055,tt0376879,tt0273504",5.867848401340979,nm0729780,"Drama,Sci-Fi,Thriller, Drama,Musical,Romance, Biography,History, Drama,Romance,Thriller, Crime,Drama,Romance, Mystery, Drama,Romance, Comedy,Drama, Crime,Drama, Action,Adventure,Drama, Drama, Action,Drama,Romance, Drama,History,Romance, Drama,Thriller, Drama,Musical"
Rachel Ryan,1961,2020,actress,"tt0100687,tt0145308,tt0146190,tt0146192",5.717549657634738,nm0752796,"Adult,Crime,Mystery, Adult,Romance, Adult, Adult,Drama,Romance, Adult,Comedy"
Zinat Sidqi,1912,1978,actress,"tt0355986,tt0281188,tt0281362,tt0342556",5.45511974545582,nm0781323,"Comedy, Comedy,Crime, Comedy,Drama, Drama,Romance, Drama,Romance,Sport, Comedy,Crime,Drama, Musical,Romance, Comedy,Romance, Drama, Comedy,Musical,Romance, Comedy,Drama,Musical, Comedy,Drama,Romance, Adventure,Comedy, Action,Comedy,Drama, Drama,Thriller, Drama,Musical"
Srividya,1953,2006,"actress,producer","tt0230321,tt0154159,tt0101649,tt0259263",6.243052570703503,nm0820286,"Thriller, Action, Comedy, Action,Comedy, Music, Drama,Romance, Action,Drama, Comedy,Drama, Drama,Family, Action,Crime,Drama, Crime,Drama, Action,Romance, Action,Adventure,Drama, Drama, Romance, Comedy,Musical, Action,Drama,Romance, Action,Crime, Comedy,Drama,Romance, Family, Action,Comedy,Drama, Musical"
Gila von Weitershausen,1944,NA,"actress,soundtrack","tt0079996,tt0061625,tt0067778,tt0095386",5.380057257379244,nm0903212,"Thriller, Adventure,Drama,Western, Adventure, Comedy, Action,Comedy,Family, Comedy,Mystery,Thriller, Comedy,Drama, Crime,Thriller, Action,Crime,Drama, Drama, Romance, Action,Crime, Comedy,Drama,Romance, Comedy,Family, Family"
