primaryName,birthYear,deathYear,primaryProfession,knownForTitles,average_popularity,nconst,aggregated_genres
Lucio Fulci,1927,1996,"writer,director,actor","tt0084719,tt0080057,tt0081318,tt0087759",5.2966168504345,nm0002086,"Comedy,Music,Musical, Comedy, Action,Horror,Sci-Fi, Horror, Action,Comedy, Horror,Mystery, Horror,Mystery,Thriller, Comedy,Crime, Comedy,War, Drama,History,Horror, Adventure,Western, Drama,Fantasy,Horror, Action,Drama,Western, Adventure,Family,Western, Action,Crime,Drama, Action,Sci-Fi,Thriller, Crime,Fantasy,Horror, Comedy,Drama,Music, Mystery,Thriller, Action,Adventure,Fantasy, Comedy,Musical, Horror,Mystery,Romance, Action,Drama,Thriller, Comedy,Drama,Musical, Adventure,Comedy, Fantasy,Western, Comedy,Horror"
Jean-Pierre Mocky,1929,2019,"director,actor,writer","tt0113997,tt0163716,tt0174224,tt0088462",5.177729434024146,nm0006620,"Thriller, Crime,Drama, Crime, Comedy, Drama, Comedy,Crime,Horror, Comedy,Crime, Crime,Mystery,Thriller, Comedy,Drama, Comedy,Crime,Drama, Comedy,Crime,Mystery"
Yilmaz Atadeniz,1932,2023,"director,writer,editor","tt0479251,tt0488961,tt0185027,tt0311396",5.110028340322213,nm0040220,"Crime, Comedy, Action,Sci-Fi, Adventure,History,War, Western, Action,Adventure,Comedy, Adventure,Romance, Action,Adventure,Crime, Crime,Drama, Adventure,Drama,Romance, Adventure, Adventure,Drama,War, Adventure,Crime,Thriller, Adventure,Drama,Music, Action,Adventure, Crime,Drama,Romance, Drama,Romance, Adventure,Crime,Fantasy, Action,Adventure,Romance, Adventure,Drama, Adventure,Biography,Drama, Adventure,Crime,Drama, Action,Adventure,Western, Drama,Music, Action,Western, Action,Crime,Drama, Drama, Action,Adventure,Thriller, Adventure,Fantasy, Action,Adventure,History, Action,Crime, Adult, Adventure,Crime, Action,Adventure,War"
Peter Beauvais,1916,1986,"director,writer,actor","tt0053007,tt0279134,tt0062584,tt0091987",7.345007960770049,nm0064723,"Crime,Drama, Crime, Comedy, Drama, Drama,War, Comedy,Drama, Comedy,Family, Sci-Fi"
Giorgio Capitani,1927,2017,"director,writer,assistant_director","tt0045677,tt0048490,tt0204098,tt0416709",5.357601584180851,nm0135167,"Adventure,Comedy,Fantasy, Comedy,Thriller, Comedy,Romance, Crime,Drama,Mystery, Comedy, Drama, Biography,Drama, Biography, Comedy,Crime, Drama,Romance, Comedy,Drama, Western"
Gordon Chan,1960,NA,"writer,producer,director","tt0116312,tt0288045,tt0440003,tt0157366",5.264355005854804,nm0150906,"Action,Comedy,Fantasy, Action,Thriller, Action, Comedy, Action,Comedy, Horror, Action,Drama,Mystery, Action,Adventure, Action,Crime,Fantasy, Comedy,Crime, Drama,Romance, Comedy,Drama, Action,Drama, Action,Drama,Fantasy, Action,Comedy,Romance, Fantasy, Action,Crime,Drama, Action,Sci-Fi,Thriller, Comedy,Romance, Action,Adventure,Drama, Action,Comedy,Crime, Mystery,Thriller, Action,Crime, Action,Crime,Thriller, Action,Comedy,Drama"
Omiros Efstratiadis,1938,NA,"director,writer,producer","tt11602436,tt0288704,tt0292385,tt0258052",4.562688839428637,nm0250625,"Crime,Romance,Thriller, Crime,Romance, Crime, Comedy, Action,Comedy, Crime,Drama,Romance, Comedy,Sci-Fi, Drama,Romance, Comedy,Drama, Crime,Thriller, Crime,Drama, Comedy,Romance, Drama, Romance, Comedy,Sport, Action,Crime, Adventure,Drama,Romance"
Gilles Grangier,1911,1996,"director,writer,assistant_director","tt0061112,tt0050913,tt0051568,tt0052573",5.252891417316684,nm0335093,"Comedy,Drama,Family, Crime,Drama,Thriller, Action,Adventure,Crime, Crime,Drama, Comedy,Romance, Comedy, Drama, Adventure, Comedy,Crime, Comedy,Drama, Crime,Drama,Romance, Action,History, Comedy,Crime,Drama"
Hideo Nakata,1961,NA,"director,writer,producer","tt0218553,tt0308379,tt0382628,tt0178868",5.178975380913031,nm0620378,"Thriller, Crime,Drama,Thriller, Comedy, Horror, Horror,Mystery, Drama,Horror,Thriller, Drama,Horror, Horror,Mystery,Thriller, Drama,Romance, Comedy,Drama, Horror,Mystery,Sci-Fi, Documentary, Mystery, Crime,Mystery,Thriller, Drama,Fantasy,Horror, Horror,Thriller, Biography,Documentary, Drama, Drama,Horror,Mystery, Mystery,Thriller, Fantasy,Horror, Drama,Sci-Fi, Drama,Horror,Romance"
Arthur Allan Seidelman,NA,NA,"director,producer,actor","tt0407205,tt1670994,tt0340919,tt0406649",5.440323382131423,nm0782381,"Thriller, Drama,Sci-Fi,Thriller, Crime,Drama,Thriller, Romance,Western, Comedy, Action,Comedy, Mystery,Sci-Fi,Thriller, Drama,History, Comedy,Drama, Crime,Drama,Romance, Drama,Mystery,Thriller, Drama,Romance, Comedy,Crime,Drama, Horror,Thriller, Adventure,Comedy,Fantasy, Crime,Drama,Mystery, Crime,Drama, Drama, Drama,Horror,Mystery, Drama,Fantasy,Musical"
Eric Till,1929,NA,"director,producer,writer","tt0250264,tt1047809,tt0084117,tt0309820",6.085679880141042,nm0863254,"Thriller, Crime,Drama,History, Comedy, Family,Fantasy, Drama,Fantasy,Romance, Biography,Comedy,Drama, Drama,Fantasy, Comedy,Crime, Comedy,Drama, Drama,Romance, Crime,Drama,Romance, Drama,Family, Comedy,Family,Musical, Biography,Drama,History, Crime,Drama,Mystery, Family,Fantasy,Musical, Crime,Drama, Drama, Drama,War, Biography,Drama,Sport, Biography,Drama, Mystery,Thriller, Comedy,Fantasy, Adventure,Drama,Family, Drama,Thriller"
Kurt Wilhelm,1923,2009,"director,writer,actor","tt0056719,tt0059685,tt0211175,tt0055641",7.259099645997765,nm0928929,"Comedy,Music,Musical, Fantasy, Comedy,Romance, Crime, Comedy, Drama, Comedy,Drama,Music, Drama,War, Comedy,Music, Comedy,Musical, Music, Comedy,Crime, Musical"
Tony Newton,NA,NA,"producer,director,writer","tt12467358,tt6172572,tt4225092,tt4490348",4.622527512115328,nm6935209,"Fantasy,Horror,Thriller, Horror, Crime,Horror, Documentary,Horror, Documentary, Comedy,Horror"
William Castle,1914,1977,"director,producer,actor","tt0051744,tt0054988,tt0040525,tt0063522",5.1373148039446175,nm0145336,"Adventure,Drama,Western, Horror, Horror,Mystery, Drama,Horror,Thriller, Crime,Drama,Film-Noir, Adventure,War,Western, Crime,Horror,Thriller, Western, Adventure,Romance, Action,Adventure,Drama, Mystery,Sci-Fi, Drama,Horror,Mystery, Fantasy,Horror, Comedy,Horror, Crime,Horror,Mystery, Adventure, Horror,Mystery,Thriller, Comedy,Horror,Thriller, Adventure,Drama,History, Adventure,Western, Adventure,Biography,History, Crime,Drama,Horror, Adventure,Drama, Action,Adventure,Romance, Adventure,Comedy,Crime, Drama, Comedy,Horror,Mystery, Comedy,Fantasy, Comedy,Crime,Mystery"
Matti Geschonneck,1952,NA,"director,assistant_director,writer","tt0115545,tt0476019,tt6020104,tt2290247",5.687845232130865,nm0315117,"Thriller, Comedy,Drama,History, Crime,Thriller, Crime,Drama,Thriller, Crime,Drama, Crime, Drama, Drama,History, Comedy,Drama, Comedy,Drama,Romance, Drama,History,War, Sci-Fi"
Dominik Graf,1952,NA,"director,writer,actor","tt0265188,tt1718776,tt13846414,tt0093336",5.942582104361146,nm0333705,"Thriller, Crime, Comedy, Drama,Sport, Drama,Horror, Drama,Romance, Documentary, Crime,Thriller, Crime,Drama, Biography,Documentary, Drama, Drama,History,Romance, Action,Drama,Thriller, Drama,Thriller, Comedy,Drama,History"
Han Hsiang Li,1926,1996,"director,writer,miscellaneous","tt0311305,tt0057248,tt0067797,tt0078470",5.80755566590477,nm0497379,"History, Action, Fantasy,Musical,Romance, Comedy, Drama,Fantasy,Romance, Horror, Drama,History, Comedy,Crime, Drama,Romance, Comedy,Drama, Action,Drama, Drama,Fantasy,Horror, Action,Comedy,History, Musical,Romance, Biography,Drama,History, Comedy,Romance, Drama, Drama,Thriller,War, Drama,Family,Musical, Comedy,History, Drama,Music,Romance, Drama,Musical, Adventure,Drama,Romance, Drama,Fantasy,Thriller"
Klaus Lemke,1940,2022,"director,writer,actor","tt0345576,tt0090724,tt0109815,tt0075676",5.380054923528572,nm0501365,"Crime,Romance,Thriller, Thriller, Action,Crime,Drama, Comedy,Romance, Crime,Drama, Comedy, Drama, Crime, Comedy,Crime, Drama,Romance, Comedy,Drama, Crime,Drama,Romance, Documentary"
